,Country,Date,Confirmed,Death,Recovered
0,France,1/22/20,0,0,0
4,France,1/23/20,0,0,0
8,France,1/24/20,2,0,0
12,France,1/25/20,3,0,0
16,France,1/26/20,3,0,0
20,France,1/27/20,3,0,0
24,France,1/28/20,4,0,0
28,France,1/29/20,5,0,0
32,France,1/30/20,5,0,0
36,France,1/31/20,5,0,0
40,France,2/1/20,6,0,0
41,France,2/2/20,6,0,0
48,France,2/3/20,6,0,0
52,France,2/4/20,6,0,0
56,France,2/5/20,6,0,0
60,France,2/6/20,6,0,0
64,France,2/7/20,6,0,0
68,France,2/8/20,11,0,0
72,France,2/9/20,11,0,0
76,France,2/10/20,11,0,0
80,France,2/11/20,11,0,0
84,France,2/12/20,11,0,2
88,France,2/13/20,11,0,2
92,France,2/14/20,11,0,2
96,France,2/15/20,12,1,4
100,France,2/16/20,12,1,4
104,France,2/17/20,12,1,4
108,France,2/18/20,12,1,4
112,France,2/19/20,12,1,4
116,France,2/20/20,12,1,4
120,France,2/21/20,12,1,4
124,France,2/22/20,12,1,4
128,France,2/23/20,12,1,4
132,France,2/24/20,12,1,4
136,France,2/25/20,14,1,11
140,France,2/26/20,18,2,11
144,France,2/27/20,38,2,11
148,France,2/28/20,57,2,11
152,France,2/29/20,100,2,12
156,France,3/1/20,130,2,12
160,France,3/2/20,191,3,12
164,France,3/3/20,204,4,12
168,France,3/4/20,288,4,12
172,France,3/5/20,380,6,12
176,France,3/6/20,656,9,12
180,France,3/7/20,959,11,12
184,France,3/8/20,1136,19,12
188,France,3/9/20,1219,19,12
192,France,3/10/20,1794,33,12
196,France,3/11/20,2293,48,12
200,France,3/12/20,2293,48,12
204,France,3/13/20,3681,79,12
208,France,3/14/20,4496,91,12
212,France,3/15/20,4532,91,12
216,France,3/16/20,6683,149,12
220,France,3/17/20,7715,149,12
224,France,3/18/20,9124,149,12
228,France,3/19/20,10970,244,12
232,France,3/20/20,12758,451,12
236,France,3/21/20,14463,563,12
240,France,3/22/20,16243,676,2206
244,France,3/23/20,20123,862,2206
248,France,3/24/20,22622,1102,3250
252,France,3/25/20,25600,1333,3907
256,France,3/26/20,29551,1698,4955
260,France,3/27/20,33402,1997,5707
264,France,3/28/20,38105,2317,5724
268,France,3/29/20,40708,2611,7226
272,France,3/30/20,45170,3030,7964
276,France,3/31/20,52827,3532,9513
280,France,4/1/20,57749,4414,11053
284,France,4/2/20,59929,5398,12548
288,France,4/3/20,65202,6520,14135
292,France,4/4/20,69500,7574,15572
296,France,4/5/20,71411,8093,16349
300,France,4/6/20,75343,8926,17428
304,France,4/7/20,79163,10343,19523
308,France,4/8/20,83057,10887,21452
312,France,4/9/20,87366,12228,23413
316,France,4/10/20,91738,13215,25195
320,France,4/11/20,94863,13851,26663
324,France,4/12/20,121712,14412,27469
328,France,4/13/20,125394,14986,28001
332,France,4/14/20,130365,15748,29098
336,France,4/15/20,133585,17188,31470
340,France,4/16/20,146075,17941,33327
344,France,4/17/20,148084,18703,35006
348,France,4/18/20,148086,19345,36587
352,France,4/19/20,153011,19744,37183
356,France,4/20/20,155393,20292,38036
360,France,4/21/20,158168,20829,39819
364,France,4/22/20,155980,21373,41326
368,France,4/23/20,158303,21889,42762
372,France,4/24/20,159952,22279,44271
376,France,4/25/20,161644,22648,45372
380,France,4/26/20,162220,22890,45681
384,France,4/27/20,165963,23327,46293
1,Germany,1/22/20,0,0,0
5,Germany,1/23/20,0,0,0
9,Germany,1/24/20,0,0,0
13,Germany,1/25/20,0,0,0
17,Germany,1/26/20,0,0,0
21,Germany,1/27/20,1,0,0
25,Germany,1/28/20,4,0,0
29,Germany,1/29/20,4,0,0
33,Germany,1/30/20,4,0,0
37,Germany,1/31/20,5,0,0
41,Germany,2/1/20,8,0,0
45,Germany,2/2/20,10,0,0
49,Germany,2/3/20,12,0,0
53,Germany,2/4/20,12,0,0
57,Germany,2/5/20,12,0,0
61,Germany,2/6/20,12,0,0
65,Germany,2/7/20,13,0,0
69,Germany,2/8/20,13,0,0
73,Germany,2/9/20,14,0,0
77,Germany,2/10/20,14,0,0
81,Germany,2/11/20,16,0,0
85,Germany,2/12/20,16,0,0
89,Germany,2/13/20,16,0,1
93,Germany,2/14/20,16,0,1
97,Germany,2/15/20,16,0,1
101,Germany,2/16/20,16,0,1
105,Germany,2/17/20,16,0,1
109,Germany,2/18/20,16,0,12
113,Germany,2/19/20,16,0,12
117,Germany,2/20/20,16,0,12
121,Germany,2/21/20,16,0,14
125,Germany,2/22/20,16,0,14
129,Germany,2/23/20,16,0,14
133,Germany,2/24/20,16,0,14
137,Germany,2/25/20,17,0,14
141,Germany,2/26/20,27,0,15
145,Germany,2/27/20,46,0,16
149,Germany,2/28/20,48,0,16
153,Germany,2/29/20,79,0,16
157,Germany,3/1/20,130,0,16
161,Germany,3/2/20,159,0,16
165,Germany,3/3/20,196,0,16
169,Germany,3/4/20,262,0,16
173,Germany,3/5/20,482,0,16
177,Germany,3/6/20,670,0,17
181,Germany,3/7/20,799,0,18
185,Germany,3/8/20,1040,0,18
189,Germany,3/9/20,1176,2,18
193,Germany,3/10/20,1457,2,18
197,Germany,3/11/20,1908,3,25
201,Germany,3/12/20,2078,3,25
205,Germany,3/13/20,3675,7,46
209,Germany,3/14/20,4585,9,46
213,Germany,3/15/20,5795,11,46
217,Germany,3/16/20,7272,17,67
221,Germany,3/17/20,9257,24,67
225,Germany,3/18/20,12327,28,105
229,Germany,3/19/20,15320,44,113
233,Germany,3/20/20,19848,67,180
237,Germany,3/21/20,22213,84,233
241,Germany,3/22/20,24873,94,266
245,Germany,3/23/20,29056,123,266
249,Germany,3/24/20,32986,157,3243
253,Germany,3/25/20,37323,206,3547
257,Germany,3/26/20,43938,267,5673
261,Germany,3/27/20,50871,342,6658
265,Germany,3/28/20,57695,433,8481
269,Germany,3/29/20,62095,533,9211
273,Germany,3/30/20,66885,645,13500
277,Germany,3/31/20,71808,775,16100
281,Germany,4/1/20,77872,920,18700
285,Germany,4/2/20,84794,1107,22440
289,Germany,4/3/20,91159,1275,24575
293,Germany,4/4/20,96092,1444,26400
297,Germany,4/5/20,100123,1584,28700
301,Germany,4/6/20,103374,1810,28700
305,Germany,4/7/20,107663,2016,36081
309,Germany,4/8/20,113296,2349,46300
313,Germany,4/9/20,118181,2607,52407
317,Germany,4/10/20,122171,2767,53913
321,Germany,4/11/20,124908,2736,57400
325,Germany,4/12/20,127854,3022,60300
329,Germany,4/13/20,130072,3194,64300
333,Germany,4/14/20,131359,3294,68200
337,Germany,4/15/20,134753,3804,72600
341,Germany,4/16/20,137698,4052,77000
345,Germany,4/17/20,141397,4352,83114
349,Germany,4/18/20,143342,4459,85400
353,Germany,4/19/20,145184,4586,88000
357,Germany,4/20/20,147065,4862,91500
361,Germany,4/21/20,148291,5033,95200
365,Germany,4/22/20,150648,5279,99400
369,Germany,4/23/20,153129,5575,103300
373,Germany,4/24/20,154999,5760,109800
377,Germany,4/25/20,156513,5877,109800
381,Germany,4/26/20,157770,5976,112000
385,Germany,4/27/20,158758,6126,114500
2,Italy,1/22/20,0,0,0
6,Italy,1/23/20,0,0,0
10,Italy,1/24/20,0,0,0
14,Italy,1/25/20,0,0,0
18,Italy,1/26/20,0,0,0
22,Italy,1/27/20,0,0,0
26,Italy,1/28/20,0,0,0
30,Italy,1/29/20,0,0,0
34,Italy,1/30/20,0,0,0
38,Italy,1/31/20,2,0,0
42,Italy,2/1/20,2,0,0
46,Italy,2/2/20,2,0,0
50,Italy,2/3/20,2,0,0
54,Italy,2/4/20,2,0,0
58,Italy,2/5/20,2,0,0
62,Italy,2/6/20,2,0,0
66,Italy,2/7/20,3,0,0
70,Italy,2/8/20,3,0,0
74,Italy,2/9/20,3,0,0
78,Italy,2/10/20,3,0,0
82,Italy,2/11/20,3,0,0
86,Italy,2/12/20,3,0,0
90,Italy,2/13/20,3,0,0
94,Italy,2/14/20,3,0,0
98,Italy,2/15/20,3,0,0
102,Italy,2/16/20,3,0,0
106,Italy,2/17/20,3,0,0
110,Italy,2/18/20,3,0,0
114,Italy,2/19/20,3,0,0
118,Italy,2/20/20,3,0,0
122,Italy,2/21/20,20,1,0
126,Italy,2/22/20,62,2,1
130,Italy,2/23/20,155,3,2
134,Italy,2/24/20,229,7,1
138,Italy,2/25/20,322,10,1
142,Italy,2/26/20,453,12,3
146,Italy,2/27/20,655,17,45
150,Italy,2/28/20,888,21,46
154,Italy,2/29/20,1128,29,46
158,Italy,3/1/20,1694,34,83
162,Italy,3/2/20,2036,52,149
166,Italy,3/3/20,2502,79,160
170,Italy,3/4/20,3089,107,276
174,Italy,3/5/20,3858,148,414
178,Italy,3/6/20,4636,197,523
182,Italy,3/7/20,5883,233,589
186,Italy,3/8/20,7375,366,622
190,Italy,3/9/20,9172,463,724
194,Italy,3/10/20,10149,631,724
198,Italy,3/11/20,12462,827,1045
202,Italy,3/12/20,12462,827,1045
206,Italy,3/13/20,17660,1266,1439
210,Italy,3/14/20,21157,1441,1966
214,Italy,3/15/20,24747,1809,2335
218,Italy,3/16/20,27980,2158,2749
222,Italy,3/17/20,31506,2503,2941
226,Italy,3/18/20,35713,2978,4025
230,Italy,3/19/20,41035,3405,4440
234,Italy,3/20/20,47021,4032,4440
238,Italy,3/21/20,53578,4825,6072
242,Italy,3/22/20,59138,5476,7024
246,Italy,3/23/20,63927,6077,7024
250,Italy,3/24/20,69176,6820,8326
254,Italy,3/25/20,74386,7503,9362
258,Italy,3/26/20,80589,8215,10361
262,Italy,3/27/20,86498,9134,10950
266,Italy,3/28/20,92472,10023,12384
270,Italy,3/29/20,97689,10779,13030
274,Italy,3/30/20,101739,11591,14620
278,Italy,3/31/20,105792,12428,15729
282,Italy,4/1/20,110574,13155,16847
286,Italy,4/2/20,115242,13915,18278
290,Italy,4/3/20,119827,14681,19758
294,Italy,4/4/20,124632,15362,20996
298,Italy,4/5/20,128948,15887,21815
302,Italy,4/6/20,132547,16523,22837
306,Italy,4/7/20,135586,17127,24392
310,Italy,4/8/20,139422,17669,26491
314,Italy,4/9/20,143626,18279,28470
318,Italy,4/10/20,147577,18849,30455
322,Italy,4/11/20,152271,19468,32534
326,Italy,4/12/20,156363,19899,34211
330,Italy,4/13/20,159516,20465,35435
334,Italy,4/14/20,162488,21067,37130
338,Italy,4/15/20,165155,21645,38092
342,Italy,4/16/20,168941,22170,40164
346,Italy,4/17/20,172434,22745,42727
350,Italy,4/18/20,175925,23227,44927
354,Italy,4/19/20,178972,23660,47055
358,Italy,4/20/20,181228,24114,48877
362,Italy,4/21/20,183957,24648,51600
366,Italy,4/22/20,187327,25085,54543
370,Italy,4/23/20,189973,25549,57576
374,Italy,4/24/20,192994,25969,60498
378,Italy,4/25/20,195351,26384,63120
382,Italy,4/26/20,197675,26644,64928
386,Italy,4/27/20,199414,26977,66624
3,Spain,1/22/20,0,0,0
7,Spain,1/23/20,0,0,0
11,Spain,1/24/20,0,0,0
15,Spain,1/25/20,0,0,0
19,Spain,1/26/20,0,0,0
23,Spain,1/27/20,0,0,0
27,Spain,1/28/20,0,0,0
31,Spain,1/29/20,0,0,0
35,Spain,1/30/20,0,0,0
39,Spain,1/31/20,0,0,0
43,Spain,2/1/20,1,0,0
47,Spain,2/2/20,1,0,0
51,Spain,2/3/20,1,0,0
55,Spain,2/4/20,1,0,0
59,Spain,2/5/20,1,0,0
63,Spain,2/6/20,1,0,0
67,Spain,2/7/20,1,0,0
71,Spain,2/8/20,1,0,0
75,Spain,2/9/20,2,0,0
79,Spain,2/10/20,2,0,0
83,Spain,2/11/20,2,0,0
87,Spain,2/12/20,2,0,0
91,Spain,2/13/20,2,0,0
95,Spain,2/14/20,2,0,0
99,Spain,2/15/20,2,0,2
103,Spain,2/16/20,2,0,2
107,Spain,2/17/20,2,0,2
111,Spain,2/18/20,2,0,2
115,Spain,2/19/20,2,0,2
119,Spain,2/20/20,2,0,2
123,Spain,2/21/20,2,0,2
127,Spain,2/22/20,2,0,2
131,Spain,2/23/20,2,0,2
135,Spain,2/24/20,2,0,2
139,Spain,2/25/20,6,0,2
143,Spain,2/26/20,13,0,2
147,Spain,2/27/20,15,0,2
151,Spain,2/28/20,32,0,2
155,Spain,2/29/20,45,0,2
159,Spain,3/1/20,84,0,2
163,Spain,3/2/20,120,0,2
167,Spain,3/3/20,165,1,2
171,Spain,3/4/20,222,2,2
175,Spain,3/5/20,259,3,2
179,Spain,3/6/20,400,5,2
183,Spain,3/7/20,500,10,30
187,Spain,3/8/20,673,17,30
191,Spain,3/9/20,1073,28,32
195,Spain,3/10/20,1695,35,32
199,Spain,3/11/20,2277,54,183
203,Spain,3/12/20,2277,55,183
207,Spain,3/13/20,5232,133,193
211,Spain,3/14/20,6391,195,517
215,Spain,3/15/20,7798,289,517
219,Spain,3/16/20,9942,342,530
223,Spain,3/17/20,11748,533,1028
227,Spain,3/18/20,13910,623,1081
231,Spain,3/19/20,17963,830,1107
235,Spain,3/20/20,20410,1043,1588
239,Spain,3/21/20,25374,1375,2125
243,Spain,3/22/20,28768,1772,2575
247,Spain,3/23/20,35136,2311,2575
251,Spain,3/24/20,39885,2808,3794
255,Spain,3/25/20,49515,3647,5367
259,Spain,3/26/20,57786,4365,7015
263,Spain,3/27/20,65719,5138,9357
267,Spain,3/28/20,73235,5982,12285
271,Spain,3/29/20,80110,6803,14709
275,Spain,3/30/20,87956,7716,16780
279,Spain,3/31/20,95923,8464,19259
283,Spain,4/1/20,104118,9387,22647
287,Spain,4/2/20,112065,10348,26743
291,Spain,4/3/20,119199,11198,30513
295,Spain,4/4/20,126168,11947,34219
299,Spain,4/5/20,131646,12641,38080
303,Spain,4/6/20,136675,13341,40437
307,Spain,4/7/20,141942,14045,43208
311,Spain,4/8/20,148220,14792,48021
315,Spain,4/9/20,153222,15447,52165
319,Spain,4/10/20,158273,16081,55668
323,Spain,4/11/20,163027,16606,59109
327,Spain,4/12/20,166831,17209,62391
331,Spain,4/13/20,170099,17756,64727
335,Spain,4/14/20,172541,18056,67504
339,Spain,4/15/20,177644,18708,70853
343,Spain,4/16/20,184948,19315,74797
347,Spain,4/17/20,190839,20002,74797
351,Spain,4/18/20,191726,20043,74797
355,Spain,4/19/20,198674,20453,77357
359,Spain,4/20/20,200210,20852,80587
363,Spain,4/21/20,204178,21282,82514
367,Spain,4/22/20,208389,21717,85915
371,Spain,4/23/20,213024,22157,89250
375,Spain,4/24/20,219764,22524,92355
379,Spain,4/25/20,223759,22902,95708
383,Spain,4/26/20,226629,23190,117727
387,Spain,4/27/20,229422,23521,120832